latitude,longitude,point_number
66.51651651651652,42.138448707256046,450
66.53253253253253,42.18181818181818,451
66.54854854854855,42.225187656380314,452
66.56456456456456,42.268557130942455,453
66.58058058058057,42.31192660550459,454
66.5965965965966,42.35529608006672,455
66.61261261261261,42.398665554628856,456
66.62862862862863,42.398665554628856,457
66.64464464464464,42.44203502919099,458
66.66066066066065,42.44203502919099,459
66.67667667667668,42.48540450375313,460
66.69269269269269,42.48540450375313,461
66.70870870870871,42.44203502919099,462
66.72472472472472,42.44203502919099,463
66.74074074074073,42.398665554628856,464
66.75675675675676,42.398665554628856,465
66.77277277277277,42.44203502919099,466
66.78878878878879,42.48540450375313,467
66.8048048048048,42.528773978315265,468
66.82082082082081,42.5721434528774,469
66.83683683683684,42.61551292743953,470
66.85285285285285,42.658882402001666,471
66.86886886886887,42.70225187656381,472
66.88488488488488,42.74562135112594,473
66.9009009009009,42.788990825688074,474
66.91691691691692,42.83236030025021,475
66.93293293293293,42.87572977481234,476
66.94894894894895,42.91909924937448,477
66.96496496496496,42.96246872393662,478
66.98098098098097,43.00583819849875,479
66.996996996997,43.049207673060884,480
67.01301301301301,43.09257714762302,481
67.02902902902903,43.09257714762302,482
67.04504504504504,43.13594662218516,483
67.06106106106105,43.13594662218516,484
67.07707707707708,43.179316096747286,485
67.09309309309309,43.22268557130943,486
67.10910910910911,43.22268557130943,487
67.12512512512512,43.26605504587156,488
67.14114114114113,43.309424520433694,489
67.15715715715716,43.309424520433694,490
67.17317317317317,43.309424520433694,491
67.1891891891892,43.309424520433694,492
67.2052052052052,43.309424520433694,493
67.22122122122121,43.309424520433694,494
67.23723723723724,43.309424520433694,495
67.25325325325325,43.309424520433694,496
67.26926926926927,43.309424520433694,497
67.28528528528528,43.309424520433694,498
67.3013013013013,43.309424520433694,499
67.31731731731732,43.309424520433694,500
67.33333333333333,43.309424520433694,501
67.34934934934935,43.309424520433694,502
67.36536536536536,43.309424520433694,503
67.38138138138137,43.309424520433694,504
67.3973973973974,43.309424520433694,505
67.41341341341341,43.309424520433694,506
67.42942942942943,43.309424520433694,507
67.44544544544544,43.309424520433694,508
67.46146146146147,43.309424520433694,509
67.47747747747748,43.309424520433694,510
67.49349349349349,43.309424520433694,511
67.50950950950951,43.309424520433694,512
67.52552552552552,43.309424520433694,513
67.54154154154155,43.309424520433694,514
67.55755755755756,43.309424520433694,515
67.57357357357357,43.309424520433694,516
67.5895895895896,43.309424520433694,517
67.6056056056056,43.26605504587156,518
67.62162162162163,43.26605504587156,519
67.63763763763764,43.26605504587156,520
67.65365365365365,43.26605504587156,521
67.66966966966967,43.26605504587156,522
67.68568568568568,43.26605504587156,523
67.70170170170171,43.26605504587156,524
67.71771771771772,43.26605504587156,525
67.73373373373373,43.26605504587156,526
67.74974974974975,43.26605504587156,527
67.76576576576576,43.26605504587156,528
67.78178178178179,43.26605504587156,529
67.7977977977978,43.26605504587156,530
